term	gene
GO:0006566	236539
GO:0009448	236539
GO:0021510	236539
GO:0070314	236539
GO:0019530	236539
GO:0010468	236539
GO:0021782	236539
GO:0031175	236539
GO:0019344	12411
GO:0043506	12411
GO:0021587	12411
GO:0010749	12411
GO:0060135	12411
GO:0060351	12411
GO:0051593	12411
GO:0001958	12411
GO:0050667	12411
GO:0001974	12411
GO:0097746	12411
GO:0004122	12411
GO:0006801	12411
GO:0004372	108037
GO:0005743	108037
GO:0035999	108037
GO:0005634	108037
GO:0005739	108037
GO:1903715	108037
GO:0002082	108037
GO:0070129	108037
GO:1990830	20425
GO:0004372	20425
GO:0035999	20425
GO:0005634	20425
GO:0005739	20425
GO:0006231	20425
GO:0001701	100678
