geneset	term
GS127590	D017209
GS127590	D000311
GS127590	D003469
GS127590	D009447
GS127590	MA:0000116
GS127590	D006225
GS127590	D006801
GS127590	MP:0002039
GS127590	D017008
GS127590	D013375
GS127590	MA:0000037
GS127590	GO:0010467
GS127590	D002477
GS127590	D000431
GS127593	GO:0008152
GS127593	GO:0007165
GS127593	GO:0023060
GS127593	D011506
GS127593	MA:0000913
GS127593	D013058
GS127593	D013057
GS127593	D013057
GS127593	D002477
GS127593	D057229
GS127593	D057229
GS127593	D020543
GS127593	GO:0009293
GS127593	D040901
GS127593	GO:0023052
GS127593	D013058
GS127593	D000437
GS127593	D008660
GS127593	D011506
GS127593	GO:0006810
GS127593	GO:0031982
GS127593	D015398
GS127593	D057825
GS127593	MA:0000168
GS127593	GO:0016192
GS127593	D001921
GS127593	D006801
GS135214	D003213
GS135214	GO:0023052
GS135214	D000437
GS135214	GO:0007268
GS135214	GO:0007268
GS135214	D057229
GS135214	D008568
GS135214	D057229
GS135214	GO:0008152
GS135214	MP:0002555
GS135214	GO:0008152
GS135214	D016000
GS135214	D012008
GS135214	D012054
GS135214	D020500
GS135214	D005680
GS135214	GO:0009058
GS135214	D005680
GS135214	D015984
GS135214	GO:0009058
GS135214	GO:0007610
GS135214	GO:0010467
GS135214	MA:0000191
GS135214	MA:0000168
GS135214	D006624
GS135214	D008660
GS135214	D009435
GS135214	D003042
GS135214	D019970
GS135214	D051381
GS135214	D013812
GS135214	GO:0007613
GS135214	D011506
GS135214	D012333
GS135214	D019966
GS135214	D001519
GS135214	D006801
GS135214	D000818
GS135214	D001921
GS135214	GO:0007610
GS135214	GO:0010467
GS135214	MA:0000191
GS135214	D006624
GS135214	D008660
GS135214	D009435
GS135214	D003042
GS135214	D051381
GS135214	D011506
GS135214	D012333
GS135214	D001519
GS135216	D057229
GS135216	D012190
GS135216	D057890
GS135216	D057890
GS135216	GO:0044028
GS135216	D020077
GS135216	GO:0044028
GS135216	D020077
GS135216	MP:0002555
GS135216	D057229
GS135216	D012190
GS135216	GO:0010467
GS135216	MA:0000168
GS135216	D012380
GS135216	D013812
GS135216	D020869
GS135216	D019966
GS135216	D006801
GS135216	D001921
GS135216	D012926
GS135216	MA:0000168
GS135216	D012380
GS135216	D020869
GS135216	D006801
GS135216	D001921
GS135216	D004247
GS135216	GO:0010468
GS135216	D004247
GS135216	D020500
GS135216	D002843
GS135216	GO:0000785
GS135216	D002843
GS135216	GO:0000785
GS135216	D001482
GS135216	D001482
GS135216	D005786
GS135216	D000437
GS135216	D006657
GS135216	D000437
GS135216	D006657
GS135216	MP:0002555
GS136986	D004734
GS136986	GO:0016310
GS136986	GO:0016310
GS136986	GO:0007613
GS136986	GO:0016020
GS136986	GO:0007612
GS136986	GO:0007616
GS136986	D006657
GS136986	MA:0000168
GS136986	D008566
GS136986	D008566
GS136986	GO:0006119
GS136986	GO:0006119
GS136986	D010988
GS136986	D004247
GS136986	D004734
GS136986	D019636
GS136986	D019636
GS136986	D006624
GS136986	D008660
GS136986	D057567
GS136986	D010085
GS136986	D020500
GS136986	GO:0005743
GS136986	D057229
GS136986	D057890
GS136986	D010766
GS136986	D010766
GS136986	D007266
GS136986	GO:0008152
GS136986	MP:0002555
GS136986	GO:0008152
GS136986	D008568
GS136986	GO:0010467
GS136986	D057229
GS136986	GO:0016020
GS136986	D008239
GS136986	D007858
GS136986	D003042
GS136986	D012380
GS136986	D012333
GS136986	D006801
GS136986	D001921
GS136986	D012926
GS136986	D008660
GS136986	D007266
GS136986	D008239
GS136986	D003042
GS136986	D012333
GS136986	D004247
GS136986	GO:0005743
GS136986	D010085
GS136986	MA:0000191
GS136986	D006657
GS137407	MP:0002555
GS137407	D004247
GS137407	D016424
GS137407	D000437
GS137407	MA:0000887
GS137407	GO:0010468
GS137407	D057229
GS137407	D057229
GS137407	D002843
GS137407	GO:0000785
GS137407	D001482
GS137407	D005786
GS137407	D012190
GS137407	GO:0044028
GS137407	D020077
GS137407	D057890
GS137407	D000679
GS137407	D006657
GS137407	EDAM_operation:0313
GS137407	GO:0010467
GS137407	MA:0000168
GS137407	D012380
GS137407	D013812
GS137407	D020869
GS137407	D019966
GS137407	D006801
GS137407	D001921
GS137407	D012926
GS137413	GO:0000785
GS137413	MP:0002555
GS137413	D004247
GS137413	D001482
GS137413	D000437
GS137413	D006657
GS137413	D000679
GS137413	D020077
GS137413	GO:0044028
GS137413	D005786
GS137413	D002843
GS137413	EDAM_operation:0313
GS137413	D016424
GS137413	GO:0010468
GS137413	MA:0000887
GS137413	GO:0010467
GS137413	MA:0000168
GS137413	D012380
GS137413	D013812
GS137413	D020869
GS137413	D019966
GS137413	D006801
GS137413	D001921
GS137413	D012926
GS137413	D057890
GS137413	D012190
GS137413	GO:0005634
GS137413	D057229
GS137413	D057229
GS248514	DOID:1574
GS248514	HP:0030955
GS248514	D000437
GS248514	DOID:0050741
